"teaching_number","title","date","year"
"1","HERE BEGINNETH","May. 11, 1979","1979"
"2","PAINS","May. 12, 1979","1979"
"3","DEPENDENCE","May. 13, 1979","1979"
"4","TEARS FOR PETER","May. 14, 1979","1979"
"5","DEPRECIATION","May. 15, 1979","1979"
"6","SCREEN","May. 16, 1979","1979"
"7","SCOUR","May. 17, 1979","1979"
"8","LOST… AND “BE STILL”","May. 18, 1979","1979"
"9","KNEEL… LIKE A DERVISH","May. 19, 1979","1979"
"10","READ THE MESSAGES","May. 20, 1979","1979"
"11","THE LETTER AND THE MANUSCRIPT","May. 21, 1979","1979"
"12","RHYTHM","May. 22, 1979","1979"
"13","YESTERDAY IS TOMORROW","May. 23, 1979","1979"
"14","TIME IS NOW","May. 24, 1979","1979"
"15","SELECT THE CHANNEL","May. 25, 1979","1979"
"16","YOUR HEART DOTH SING!","May. 26, 1979","1979"
"17","THE NEEDS OF PEOPLE","May. 27, 1979","1979"
"18","FLOUNDERING","May. 28, 1979","1979"
"19","PRACTICE AND PATIENCE","May. 29, 1979","1979"
"20","DISCONTENT","May. 30, 1979","1979"
"21","FORGIVE","May. 31, 1979","1979"
"22","FORGIVE… AGAIN","Jun. 01, 1979","1979"
"23","CONFIDENCE","Jun. 02, 1979","1979"
"24","ACTION","Jun. 03, 1979","1979"
"25","AND IT CAME TO PASS…","Jun. 04, 1979","1979"
"26","FRIENDSHIP","Jun. 05, 1979","1979"
"27","ROOSTER… AND THE RHYTHM","Jun. 06, 1979","1979"
"28","APPREHENSION","Jun. 07, 1979","1979"
"29","WRITE","Jun. 08, 1979","1979"
"30","UNLIKELY","Jun. 09, 1979","1979"
"31","“ANNIVERSARY”","Jun. 10, 1979","1979"
"32","11 Pages of Summary of the first month’s Writings","Jun. 11, 1979","1979"
"33","A NEW VENTURE","Jun. 11, 1979","1979"
"34","LOCUS OF CONTROL","Jun. 12, 1979","1979"
"35","COME, HOLY SPIRIT, COME","Jun. 13, 1979","1979"
"36","WHEN THE HOLY SPIRIT DOES NOT COME","Jun. 14, 1979","1979"
"37","GOODNESS","Jun. 15, 1979","1979"
"38","CONFIDENCE","Jun. 16, 1979","1979"
"39","THE LORD IS WAITING","Jun. 17, 1979","1979"
"40","DISCIPLINE","Jun. 18, 1979","1979"
"41","LISTEN FOR THE WORD","Jun. 19, 1979","1979"
"42","TRAVEL","Jun. 20, 1979","1979"
"43","THE SPIRIT WITHIN","Jun. 21, 1979","1979"
"44","RHYTHM, AGAIN","Jun. 22, 1979","1979"
"45","REENTRY","Jun. 23, 1979","1979"
"46","TAKE CARE!","Jun. 24, 1979","1979"
"47","PAIN","Jun. 25, 1979","1979"
"48","PAIN, AGAIN","Jun. 26, 1979","1979"
"49","THE RHYTHM THAT IS THE SELF","Jun. 27, 1979","1979"
"50","SOMETHING “SPECIAL” IS GOING ON","Jun. 28, 1979","1979"
"51","CONFUSION","Jun. 29, 1979","1979"
"52","OPEN YOUR MIND","Jun. 30, 1979","1979"
"53","AGING","Jul. 01, 1979","1979"
"54","ALCOHOL","Jul. 02, 1979","1979"
"55","SPIRITUAL RISK-TAKING","Jul. 03, 1979","1979"
"56","RHYTHM… AGAIN","Jul. 04, 1979","1979"
"57","THE BIBLE","Jul. 05, 1979","1979"
"58","AN EXPERIENCE","Jul. 06, 1979","1979"
"59","MISFORTUNE","Jul. 07, 1979","1979"
"60","REMEMBER THE SABBATH","Jul. 08, 1979","1979"
"61","FEELING","Jul. 09, 1979","1979"
"62","WHAT HAPPENS NOW?","Jul. 10, 1979","1979"
"63","AM I STILL IN CONTACT?","Jul. 15, 1979","1979"
"64","WRITING","Jul. 30, 1979","1979"
"65","BALANCE","Aug. 23, 1979","1979"
"66","PURITY","Sep. 01, 1979","1979"
"67","I AM A PUMP","Sep. 02, 1979","1979"
"68","TESTING","Sep. 03, 1979","1979"
"69","DREAMS","Sep. 04, 1979","1979"
"70","LEARNING FROM WITHIN","Sep. 05, 1979","1979"
"71","WAITING FOR SCARS TO HEAL","Sep. 06, 1979","1979"
"72","THE PATH OF LIGHT","Sep. 07, 1979","1979"
"73","TEST YOUR POSITION","Sep. 16, 1979","1979"
"74","DRINKING","Sep. 22, 1979","1979"
"75","FEEL NO SHAME","Oct. 06, 1979","1979"
"76","COMMUNION","Oct. 07, 1979","1979"
"77","CATCH A FALLING STAR","Oct. 08, 1979","1979"
"78","PERSIST","Oct. 09, 1979","1979"
"79","CHANGE OF SEASON","Oct. 10, 1979","1979"
"80","APPRECIATE","Oct. 20, 1979","1979"
"81","ROMANS AND FORGIVENESS","Oct. 28, 1979","1979"
"82","LIFE’S TAPESTRY","Nov. 20, 1979","1979"
"83","SACRIFICE","Nov. 21, 1979","1979"
"84","DEATH","Nov. 27, 1979","1979"
"85","RETURN","Nov. 28, 1979","1979"
"86","OVERBOARD","Nov. 29, 1979","1979"
"87","OBEDIENCE","Dec. 01, 1979","1979"
"88","FROM OUT OF YOUR SOUL","Dec. 02, 1979","1979"
"89","BAPTISM","Dec. 03, 1979","1979"
"90","FUN","Dec. 04, 1979","1979"
"91","SUNSHINE","Dec. 05, 1979","1979"
"92","IN MEMORY","Dec. 07, 1979","1979"
"93","TRANSITIONS","Dec. 08, 1979","1979"
"94","BETHLEHEM","Dec. 09, 1979","1979"
"95","FREEDOM","Dec. 12, 1979","1979"
"96","TRADE-OFFS","Dec. 15, 1979","1979"
